fetching donations for slug=support-for-lindsay-clancys-parents ...
  page 25: kept 905 non-anon (anon 345, total expected 35766)
  page 50: kept 1836 non-anon (anon 664, total expected 35766)
  page 75: kept 2772 non-anon (anon 978, total expected 35766)
  page 100: kept 3689 non-anon (anon 1311, total expected 35766)
  page 125: kept 4606 non-anon (anon 1644, total expected 35766)
  page 150: kept 5541 non-anon (anon 1959, total expected 35766)
  page 175: kept 6488 non-anon (anon 2262, total expected 35766)
  page 200: kept 7392 non-anon (anon 2608, total expected 35766)
  page 225: kept 8299 non-anon (anon 2951, total expected 35766)
  page 250: kept 9229 non-anon (anon 3271, total expected 35766)
  page 275: kept 10161 non-anon (anon 3589, total expected 35766)
  page 300: kept 11089 non-anon (anon 3911, total expected 35766)
  page 325: kept 11996 non-anon (anon 4254, total expected 35766)
  page 350: kept 12903 non-anon (anon 4597, total expected 35766)
  page 375: kept 13792 non-anon (anon 4958, total expected 35766)
  page 400: kept 14677 non-anon (anon 5323, total expected 35766)
  page 425: kept 15563 non-anon (anon 5687, total expected 35766)
  page 450: kept 16424 non-anon (anon 6076, total expected 35766)
  page 475: kept 17286 non-anon (anon 6464, total expected 35766)
  page 500: kept 18160 non-anon (anon 6840, total expected 35766)
  page 525: kept 18972 non-anon (anon 7278, total expected 35766)
  page 550: kept 19780 non-anon (anon 7720, total expected 35766)
  page 575: kept 20597 non-anon (anon 8153, total expected 35766)
  page 600: kept 21451 non-anon (anon 8549, total expected 35766)
  page 625: kept 22301 non-anon (anon 8949, total expected 35766)
  page 650: kept 23166 non-anon (anon 9334, total expected 35766)
  page 675: kept 23951 non-anon (anon 9799, total expected 35766)
  page 700: kept 24769 non-anon (anon 10231, total expected 35766)
DONE: 25247 non-anonymous (+10519 anonymous skipped) of 35766 total -> data/donations.json
